       Step     Time          Energy         fmax
GPMin:   29 15:14:01       -4.801226        0.0740
GPMin:   30 15:14:06       -4.824092        0.0713
GPMin:   31 15:14:11       -4.843986        0.0734
GPMin:   32 15:14:15       -4.865544        0.0735
GPMin:   33 15:14:20       -4.882265        0.0715
GPMin:   34 15:14:24       -4.897315        0.0679
GPMin:   35 15:14:29       -4.907701        0.0615
GPMin:   36 15:14:33       -4.915140        0.0538
GPMin:   37 15:14:37       -4.922258        0.0476
GPMin:   38 15:14:41       -4.926631        0.0400
GPMin:   39 15:14:45       -4.930195        0.0298
GPMin:   40 15:14:49       -4.932259        0.0193
       Step     Time          Energy         fmax
GPMin:    0 15:14:59       -3.186749        1.3148
GPMin:    1 15:15:05       -3.976763        0.6185
GPMin:    2 15:15:11       -4.263645        0.3151
GPMin:    3 15:15:16       -4.367465        0.1961
GPMin:    4 15:15:22       -4.398395        0.1971
GPMin:    5 15:15:28       -4.469784        0.1958
GPMin:    6 15:15:33       -4.481510        0.1571
GPMin:    7 15:15:38       -4.485787        0.1462
GPMin:    8 15:15:50       -4.513987        0.1329
GPMin:    9 15:15:56       -4.533911        0.0607
GPMin:   10 15:16:01       -4.538553        0.0663
GPMin:   11 15:16:06       -4.544272        0.0695
GPMin:   12 15:16:11       -4.553686        0.0867
GPMin:   13 15:16:16       -4.568361        0.0976
GPMin:   14 15:16:21       -4.584753        0.0996
GPMin:   15 15:16:26       -4.602552        0.0988
GPMin:   16 15:16:31       -4.627483        0.0977
GPMin:   17 15:16:36       -4.644731        0.0931
GPMin:   18 15:16:42       -4.666911        0.0873
GPMin:   19 15:16:47       -4.683288        0.0831
GPMin:   20 15:16:52       -4.698462        0.0740
GPMin:   21 15:16:57       -4.712182        0.0666
GPMin:   22 15:17:01       -4.727039        0.0644
GPMin:   23 15:17:06       -4.742298        0.0651
GPMin:   24 15:17:12       -4.757576        0.0659
GPMin:   25 15:17:17       -4.775168        0.0627
GPMin:   26 15:17:21       -4.791142        0.0597
GPMin:   27 15:17:26       -4.811855        0.0700
GPMin:   28 15:17:30       -4.831474        0.0767
GPMin:   29 15:17:35       -4.856471        0.0846
GPMin:   30 15:17:40       -4.873924        0.0845
GPMin:   31 15:17:45       -4.891731        0.0762
GPMin:   32 15:17:50       -4.903499        0.0679
GPMin:   33 15:17:54       -4.912300        0.0565
GPMin:   34 15:17:58       -4.919020        0.0450
GPMin:   35 15:18:02       -4.923081        0.0396
GPMin:   36 15:18:07       -4.928021        0.0408
GPMin:   37 15:18:10       -4.929589        0.0404
GPMin:   38 15:18:15       -4.932439        0.0251
GPMin:   39 15:18:18       -4.932857        0.0197
       Step     Time          Energy         fmax
GPMin:    0 15:18:27       -3.298852        0.7848
GPMin:    1 15:18:33       -3.638516        0.4553
GPMin:    2 15:18:38       -3.784180        0.2568
GPMin:    3 15:18:43       -3.886308        0.2071
GPMin:    4 15:18:49       -3.969835        0.1650
GPMin:    5 15:18:53       -3.994387        0.1507
GPMin:    6 15:18:59       -4.033017        0.2967
GPMin:    7 15:19:05       -4.064638        0.1093
GPMin:    8 15:19:09       -4.068371        0.1145
GPMin:    9 15:19:15       -4.083245        0.2093
GPMin:   10 15:19:19       -4.095170        0.1342
GPMin:   11 15:19:24       -4.108907        0.1064
GPMin:   12 15:19:29       -4.112784        0.0857
GPMin:   13 15:19:33       -4.120711        0.0539
GPMin:   14 15:19:38       -4.125574        0.0555
GPMin:   15 15:19:43       -4.132936        0.0503
GPMin:   16 15:19:48       -4.139834        0.0766
GPMin:   17 15:19:53       -4.145401        0.0791
GPMin:   18 15:20:03       -4.149655        0.0596
GPMin:   19 15:20:08       -4.150236        0.0498
GPMin:   20 15:20:12       -4.153290        0.0193
       Step     Time          Energy         fmax
GPMin:    0 15:20:21       -3.171710        1.3449
GPMin:    1 15:20:26       -4.011506        0.6014
GPMin:    2 15:20:32       -4.289014        0.2560
GPMin:    3 15:20:37       -4.354841        0.0976
GPMin:    4 15:20:42       -4.364228        0.1256
GPMin:    5 15:20:46       -4.377365        0.1067
GPMin:    6 15:20:51       -4.392742        0.1262
GPMin:    7 15:20:56       -4.413762        0.0982
GPMin:    8 15:21:01       -4.433802        0.0794
GPMin:    9 15:21:05       -4.434941        0.0740
GPMin:   10 15:21:09       -4.441890        0.0510
GPMin:   11 15:21:14       -4.449090        0.0574
GPMin:   12 15:21:26       -4.451863        0.0472
GPMin:   13 15:21:30       -4.453434        0.0417
GPMin:   14 15:21:37       -4.462958        0.0849
GPMin:   15 15:21:43       -4.486801        0.1185
GPMin:   16 15:21:48       -4.509943        0.1500
GPMin:   17 15:21:53       -4.519345        0.1499
GPMin:   18 15:21:59       -4.609849        0.2052
GPMin:   19 15:22:05       -4.672032        0.2611
GPMin:   20 15:22:11       -4.724545        0.2371
GPMin:   21 15:22:16       -4.769055        0.1913
GPMin:   22 15:22:21       -4.809910        0.1218
GPMin:   23 15:22:25       -4.829069        0.1110
GPMin:   24 15:22:30       -4.847114        0.1062
GPMin:   25 15:22:34       -4.862818        0.0721
GPMin:   26 15:22:39       -4.873176        0.0469
GPMin:   27 15:22:43       -4.876806        0.0555
GPMin:   28 15:22:48       -4.881644        0.0546
GPMin:   29 15:22:52       -4.884609        0.0301
GPMin:   30 15:22:57       -4.886386        0.0349
GPMin:   31 15:23:02       -4.888320        0.0327
GPMin:   32 15:23:05       -4.889694        0.0143
       Step     Time          Energy         fmax
GPMin:    0 15:23:15       -3.165286        1.3476
GPMin:    1 15:23:20       -4.009123        0.6035
GPMin:    2 15:23:26       -4.288050        0.2567
GPMin:    3 15:23:31       -4.354505        0.0974
GPMin:    4 15:23:36       -4.363794        0.1260
GPMin:    5 15:23:40       -4.377322        0.1073
GPMin:    6 15:23:46       -4.392632        0.1342
GPMin:    7 15:23:51       -4.407630        0.1143
GPMin:    8 15:24:01       -4.451558        0.1199
GPMin:    9 15:24:07       -4.457774        0.0732
GPMin:   10 15:24:25       -4.515027        0.1845
GPMin:   11 15:24:30       -4.548103        0.2021
GPMin:   12 15:24:36       -4.571320        0.2070
GPMin:   13 15:24:41       -4.647083        0.2065
GPMin:   14 15:24:47       -4.684586        0.1913
GPMin:   15 15:24:53       -4.727589        0.1744
