       Step     Time          Energy         fmax
GPMin:    1 12:00:34       -6.446888        0.3089
GPMin:    2 12:00:42       -6.556647        0.2534
GPMin:    3 12:00:49       -6.681746        0.2881
GPMin:    4 12:00:57       -6.814947        0.3089
GPMin:    5 12:01:04       -6.939608        0.3258
GPMin:    6 12:01:10       -7.047721        0.3276
GPMin:    7 12:01:16       -7.138365        0.3004
GPMin:    8 12:01:23       -7.211279        0.2270
GPMin:    9 12:01:29       -7.252629        0.1134
GPMin:   10 12:01:34       -7.264107        0.0718
GPMin:   11 12:01:40       -7.270571        0.0798
GPMin:   12 12:01:45       -7.276819        0.0382
GPMin:   13 12:01:51       -7.278729        0.0217
GPMin:   14 12:01:57       -7.279774        0.0145
       Step     Time          Energy         fmax
GPMin:    0 12:02:11       -6.180493        0.4996
GPMin:    1 12:02:20       -6.443947        0.3099
GPMin:    2 12:02:28       -6.601745        0.2758
GPMin:    3 12:02:35       -6.700937        0.2623
GPMin:    4 12:02:42       -6.765145        0.2485
GPMin:    5 12:02:49       -6.877308        0.1743
GPMin:    6 12:02:55       -6.905795        0.1601
GPMin:    7 12:03:01       -6.951381        0.1371
GPMin:    8 12:03:08       -6.990330        0.1156
GPMin:    9 12:03:15       -7.020097        0.1069
GPMin:   10 12:03:21       -7.053087        0.1177
GPMin:   11 12:03:27       -7.094082        0.1234
GPMin:   12 12:03:33       -7.139506        0.1179
GPMin:   13 12:03:39       -7.183629        0.1035
GPMin:   14 12:03:45       -7.218198        0.0845
GPMin:   15 12:03:51       -7.236063        0.0662
GPMin:   16 12:03:56       -7.242529        0.0488
GPMin:   17 12:04:02       -7.245437        0.0344
GPMin:   18 12:04:07       -7.248177        0.0377
GPMin:   19 12:04:13       -7.250202        0.0393
GPMin:   20 12:04:18       -7.255382        0.0451
GPMin:   21 12:04:24       -7.261472        0.0485
GPMin:   22 12:04:29       -7.268590        0.0433
GPMin:   23 12:04:35       -7.273545        0.0239
GPMin:   24 12:04:40       -7.275967        0.0258
GPMin:   25 12:04:46       -7.277918        0.0273
GPMin:   26 12:04:51       -7.278968        0.0166
       Step     Time          Energy         fmax
GPMin:    0 12:05:05       -5.832824        0.6674
GPMin:    1 12:05:12       -6.145378        0.2588
GPMin:    2 12:05:19       -6.250221        0.1244
GPMin:    3 12:05:25       -6.298601        0.1210
GPMin:    4 12:05:31       -6.325752        0.1218
GPMin:    5 12:05:37       -6.376013        0.1255
GPMin:    6 12:05:43       -6.403997        0.1325
GPMin:    7 12:05:48       -6.435660        0.1489
GPMin:    8 12:05:54       -6.480890        0.1762
GPMin:    9 12:05:59       -6.513003        0.1886
GPMin:   10 12:06:06       -6.615560        0.2055
GPMin:   11 12:06:13       -6.693798        0.2010
GPMin:   12 12:06:20       -6.758157        0.1593
GPMin:   13 12:06:26       -6.801744        0.0995
GPMin:   14 12:06:32       -6.826255        0.0484
GPMin:   15 12:06:38       -6.833522        0.0392
GPMin:   16 12:06:42       -6.836486        0.0379
GPMin:   17 12:06:48       -6.840412        0.0357
GPMin:   18 12:06:54       -6.842864        0.0315
